sample_id,SC,VF,SM,RNA,Blood,Plasma,Serum,Urine(Short),Urine (Tall),Urine_present
2,6,0,2,0,2,4,4,0,2,0
3,6,4,1,0,1,5,0,0,2,1
4,3,2,2,0,2,6,0,0,2,1
5,4,1,3,0,2,6,0,0,2,1
6,6,49,4,0,2,2,0,0,2,1
7,4,5,4,0,2,6,0,0,2,1
8,5,4,3,0,2,6,0,0,2,1
9,3,1,2,0,2,6,0,0,2,1
10,3,3,3,0,2,2,0,0,2,1
11,2,5,5,0,2,6,0,0,2,1
12,4,3,4,0,7,7,0,0,2,1
13,4,5,2,0,7,3,0,0,2,1
14,3,3,3,0,5,4,0,0,2,1
15,4,3,3,0,4,4,0,0,2,1
16,3,6,0,0,4,3,0,0,0,0
17,5,8,3,0,4,5,0,0,0,0
18,3,8,2,0,4,4,0,0,0,0
19,5,5,3,0,5,4,0,0,0,0
20,5,4,3,0,4,4,0,0,0,0
21,2,6,3,0,5,5,0,0,2,1
22,6,2,2,0,4,6,0,0,2,1
23,1,6,2,0,4,4,0,0,2,1
24,2,5,2,0,3,5,0,0,2,1
25,6,5,2,0,4,6,0,0,2,1
26,5,5,2,0,4,3,0,0,0,0
27,6,6,3,0,5,6,0,0,2,1
28,3,1,2,0,3,5,0,0,0,0
29,7,4,3,0,4,5,0,0,2,1
30,4,1,3,0,3,4,0,0,2,1
31,4,6,3,0,4,1,0,0,4,1
32,7,6,4,0,4,4,0,0,2,1
33,4,1,4,0,3,5,0,0,2,1
34,4,3,2,0,4,3,0,0,0,0
35,7,0,2,0,3,6,0,0,2,0
36,5,3,3,0,4,2,0,0,2,1
37,6,0,3,0,3,7,5,0,2,0
38,2,0,2,0,5,5,0,0,2,0
39,8,1,5,0,4,4,0,0,2,1
40,7,13,3,0,2,5,0,0,2,1
41,7,10,5,0,2,5,0,0,2,1
42,4,4,3,0,8,4,0,0,2,1
43,0,0,0,0,3,2,2,0,0,0
44,3,4,3,0,9,0,4,0,2,1
45,2,0,2,0,6,5,0,0,0,0
46,3,0,2,0,4,5,0,0,2,0
47,0,0,4,0,5,5,0,0,2,0
48,1,0,2,0,3,3,0,0,2,0
49,1,0,1,0,0,0,0,0,0,0
50,2,2,1,0,5,5,0,0,2,1
51,4,1,2,0,6,6,0,0,2,1
52,3,1,2,0,6,2,0,0,2,1
53,2,1,2,0,3,5,0,0,0,0
54,5,1,3,0,5,3,0,0,0,0
55,4,5,2,0,7,5,0,0,2,1
56,0,0,2,0,4,5,0,0,2,0
57,3,3,2,0,5,1,0,0,2,1
58,1,0,2,0,5,3,0,0,2,0
59,3,0,2,0,6.5,5,0,0,0,0
60,6,0,2,0,4,4,0,0,2,0
61,0,3,2,0,4,5,0,0,2,1
62,0,2,2,0,4,6,0,0,2,1
63,2,1,2,0,5,4,0,0,2,1
64,0,0,2,0,3,5,0,0,2,0
65,1,0,2,0,4,5,0,3,2,0
66,1,1,2,0,4,5,0,3,2,1
67,2,0,2,0,4,5,0,3,2,0
68,1,1,2,0,4,6,0,3,2,1
69,1,1,2,0,5,2,0,3,2,1
70,1,1,2,0,4,4,0,3,1,1
71,2,2,2,0,4,1,0,3,2,1
72,2,0,2,0,4,2,0,3,2,0
73,1,3,3,0,5,1,0,3,2,1
74,0,0,1,0,4,3,0,3,2,0
75,2,2,3,0,4,2,0,3,2,1
76,1,1,3,0,4,6,0,3,2,1
77,0,2,2,0,4,5,0,0,0,0
78,2,0,2,0,5.5,5,0,3,2,0
79,4,0,2,0,4,4,0,3,1,0
80,2,0,2,0,5,6,0,3,2,0
81,0,0,1,0,2,2,0,3,2,0
82,1,0,2,0,8,4,0,0,0,0
